Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
70.111303091	24	30.871664	25.432627	89.055145	-0.87247276	21.0	0.0	1.4700791	1.4700791	1.4826455	1.4826455	-0.6577473	0.34023577	0.3690364	0.2649603	0.69465095	1008	25200
72.5635991096	25	27.359613	25.264544	78.947845	-1.0416083	21.0	0.0	1.3028388	1.3028388	1.3093879	1.3093879	-0.63139087	0.21328436	0.22544803	0.19871944	0.6539357	1008	26208
75.0368101597	26	36.256416	25.525688	98.9672	-0.6621442	21.0	0.0	1.726496	1.726496	1.7339115	1.7339115	-0.67303765	0.29861876	0.2783119	0.2298615	0.7008687	1008	27216
77.4742810726	27	38.951946	25.000507	98.8425	-0.92087734	21.0	0.0	1.8548545	1.8548545	1.8618186	1.8618186	-0.70027816	0.2554705	0.24235213	0.19374745	0.7245134	1008	28224
79.8743231297	28	49.51875	24.460615	98.723404	-0.672603	21.0	0.0	2.3580358	2.3580358	2.369228	2.369228	-0.61601174	0.247223	0.34451282	0.27309418	0.6504631	1008	29232
82.337031126	29	48.237988	29.119345	108.814705	-0.8540605	21.0	0.0	2.297047	2.297047	2.304732	2.304732	-0.6445923	0.22142665	0.23987642	0.1932335	0.66857994	1008	30240
84.8141200542	30	45.56023	30.822258	108.803604	-0.9383332	21.0	0.0	2.169535	2.169535	2.177617	2.177617	-0.6345053	0.24070878	0.23409763	0.21718495	0.65791506	1008	31248
87.1804111004	31	57.7562	27.66404	108.89675	-0.81871915	21.0	0.0	2.7502952	2.7502952	2.76426	2.76426	-0.6113583	0.32074666	0.4205438	0.37396544	0.6534127	1008	32256
89.5681760311	32	53.60631	24.373882	98.881004	9.221909	21.0	0.0	2.5526817	2.5526817	2.5636508	2.5636508	-0.6683106	0.32106453	0.3514915	0.27852857	0.70345986	1008	33264
91.9442000389	33	57.501694	25.265242	108.5531	-0.76330423	21.0	0.0	2.7381756	2.7381756	2.7502205	2.7502205	-0.6585175	0.29937866	0.34823713	0.21735813	0.6933412	1008	34272
94.4179241657	34	57.530243	21.306839	108.78617	-0.750897	21.0	0.0	2.739535	2.739535	2.7481651	2.7481651	-0.64029694	0.2762605	0.3511747	0.3792245	0.6754144	1008	35280
96.822024107	35	65.62966	22.467196	118.526344	-0.72765553	21.0	0.0	3.125222	3.125222	3.13305	3.13305	-0.6712302	0.27684662	0.29271916	0.27171302	0.70050216	1008	36288
99.1578800678	36	63.947033	20.712362	98.83132	-0.6831156	21.0	0.0	3.0450966	3.0450966	3.0527616	3.0527616	-0.6472735	0.2984498	0.34815913	0.32671958	0.6820893	1008	37296
101.474523067	37	64.52124	25.692112	118.7475	-0.8643761	21.0	0.0	3.07244	3.07244	3.0842164	3.0842164	-0.62859786	0.32586855	0.4141387	0.38767287	0.67001176	1008	38304
103.840963125	38	69.72608	23.145689	118.65081	-0.8454144	21.0	0.0	3.3202894	3.3202894	3.3296156	3.3296156	-0.6657891	0.26442903	0.25457135	0.25196618	0.6912463	1008	39312
106.226217031	39	68.927605	20.600388	108.78194	28.94868	21.0	0.0	3.282267	3.282267	3.289147	3.289147	-0.6613935	0.2909305	0.34596685	0.3832593	0.6959902	1008	40320
108.554899216	40	73.24182	22.395624	118.46946	9.23627	21.0	0.0	3.4877057	3.4877057	3.4983323	3.4983323	-0.6391002	0.2651222	0.3350953	0.3553424	0.6726097	1008	41328
110.9054842	41	69.25898	23.125528	108.58932	-0.91544837	21.0	0.0	3.2980466	3.2980466	3.304459	3.304459	-0.6668148	0.2556835	0.24319297	0.31947383	0.69113404	1008	42336
113.284979105	42	69.08358	26.262032	118.655846	-0.8583454	21.0	0.0	3.2896938	3.2896938	3.2934637	3.2934637	-0.69721687	0.19556417	0.15252253	0.30950174	0.7124691	1008	43344
115.769192219	43	72.578896	24.485268	108.82225	-0.9248725	21.0	0.0	3.456138	3.456138	3.46251	3.46251	-0.682419	0.30885455	0.2584582	0.30963546	0.7082648	1008	44352
118.371146202	44	77.14907	21.62808	118.66075	28.834631	21.0	0.0	3.6737652	3.6737652	3.678413	3.678413	-0.6796085	0.29164892	0.2523625	0.3560422	0.7048448	1008	45360
120.830987215	45	69.87069	23.411781	118.23942	18.88724	21.0	0.0	3.327176	3.327176	3.3293583	3.3293583	-0.67198586	0.18985166	0.15682074	0.2612747	0.6876679	1008	46368
123.245794058	46	80.240654	21.479752	118.74246	-0.97617817	21.0	0.0	3.8209836	3.8209836	3.8253455	3.8253455	-0.657815	0.23361757	0.28008038	0.50430876	0.685823	1008	47376
125.84317112	47	78.75147	23.408613	118.60079	19.118862	21.0	0.0	3.7500703	3.7500703	3.757121	3.757121	-0.6380814	0.24014774	0.32224637	0.5210637	0.670306	1008	48384
128.243189096	48	78.117424	21.299095	108.743515	29.166775	21.0	0.0	3.7198772	3.7198772	3.7241662	3.7241662	-0.661082	0.18569186	0.19013065	0.3437967	0.680095	1008	49392
130.625369072	49	86.64453	13.577448	118.52002	58.76494	21.0	0.0	4.12593	4.12593	4.1325817	4.1325817	-0.71153367	0.24756628	0.17502743	0.28900877	0.72903633	1008	50400
