Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
431.1823420524597	31	-102.54933882677075	-2.671173136744519	19.344373872548772	-55.808066932125406	-199.56673927120656	20.0	0.0	252	322560	-103.21732646527545	-2.7949645062295403
444.34883999824524	32	-101.88687074501918	-2.6587744242291875	20.923229707461623	-62.754014738752815	-207.65807447722764	20.0	0.0	252	332640	-94.99687220733462	-2.1558072564755726
457.5319540500641	33	-98.30993755739625	-2.4876951077212284	22.14716815621578	-61.51753726687649	-331.05401502091536	20.0	0.0	252	342720	-92.34304079678611	-2.107469107138114
470.6237778663635	34	-92.02696478882383	-2.2570966175353795	16.964715457409337	-56.399736903176276	-160.91487755633418	20.0	0.0	252	352800	-90.55294901203142	-2.312834245165431
483.77723002433777	35	-90.44868733017724	-2.3617991789192554	19.060048633778138	-52.894360900922635	-209.49266928360979	20.0	0.0	252	362880	-90.13580139455986	-2.252044424945131
496.93197202682495	36	-88.94492528308119	-2.1658116512797903	17.775789984851198	-51.63954419420344	-191.52035917887696	19.985416666666666	0.31917183416182293	252	372960	-85.79601972071771	-2.239567993166988
510.0744569301605	37	-84.90235047988634	-2.136601495087872	14.556260571821262	-54.510822646271535	-166.57631105372442	20.0	0.0	252	383040	-82.04617317188139	-1.6405279881380581
523.1626679897308	38	-83.04648083991437	-1.9934428028566735	19.610779093902952	-51.88038171712589	-191.5074708492642	20.0	0.0	252	393120	-79.99811893625623	-2.0010995559622238
536.2972159385681	39	-80.85461735968373	-1.8975571845466235	16.30348297682246	-51.82700525395725	-167.92460518864735	20.0	0.0	252	403200	-83.2024615382438	-2.0251441566240116
549.3981750011444	40	-78.11581885524463	-1.9408512548809513	14.876664251331318	-47.938974183576185	-158.5433188940461	20.0	0.0	252	413280	-76.57848051841188	-1.6608681363758582
562.5567178726196	41	-76.80227615063879	-1.758793597786974	14.63706146042803	-46.95857723467559	-134.9999275512717	20.0	0.0	252	423360	-78.21074458887502	-1.6161779976093655
575.8034660816193	42	-74.46528649152937	-1.6817518031491936	14.33280845137852	-47.20877094284733	-146.6396090696291	20.0	0.0	252	433440	-73.91496207764196	-1.6686181258586885
589.923672914505	43	-70.1558282038306	-1.5050203665860655	12.625490551382036	-43.137704301694704	-147.30756420143362	20.0	0.0	252	443520	-69.7386016138862	-1.4367100916528628
605.5507969856262	44	-70.66972764228322	-1.539046281495383	14.612299997621996	-41.20962556906872	-149.91397651691463	20.0	0.0	252	453600	-67.54962461493257	-1.3859853654880296
620.8984508514404	45	-68.00083633943387	-1.4594725635414592	13.95058274636685	-41.18496696797286	-145.18586942484114	20.0	0.0	252	463680	-64.75846680378494	-1.3573318548383995
635.2999520301819	46	-65.70942225551843	-1.3389869492211701	12.633450740133629	-40.766784428660685	-135.58580017413408	20.0	0.0	252	473760	-64.94164480016526	-1.349838346967531
649.5951309204102	47	-63.68743240032585	-1.3186218058190575	12.29152582956471	-42.665536729118244	-132.53294726246318	20.0	0.0	252	483840	-62.03824336332466	-1.238513599626216
664.9303910732269	48	-63.25012856313322	-1.3108585656639127	13.412483975926444	-39.435950355171194	-164.9200124113043	20.0	0.0	252	493920	-57.97821475184586	-1.2810707623126354
679.4727709293365	49	-60.55418982122977	-1.2219666552326036	10.189169399567854	-39.597115839320786	-105.17602407647523	20.0	0.0	252	504000	-60.33241367508381	-1.2380706864253999
693.7860820293427	50	-59.31613646100839	-1.1662317435968694	10.816225777150631	-35.80698469437771	-115.71104428447494	19.975	0.5471517157059826	252	514080	-58.263613462063425	-1.101001080479006
708.0244920253754	51	-58.265190631590954	-1.1613573583446084	13.241115397775053	-36.342012707256174	-238.99483767511785	20.0	0.0	252	524160	-55.580794043426216	-1.1910574710589374
722.4350299835205	52	-56.360502383242384	-1.0733638854220122	9.861179229091267	-37.29639748880644	-108.93315501376739	19.98125	0.41036378677948665	252	534240	-55.76277713113277	-1.033379501439828
737.1559100151062	53	-55.14627288613022	-1.0099036952432852	9.575528587013656	-38.69229757248957	-108.65385402309971	19.991666666666667	0.1823839052353274	252	544320	-52.245081428947294	-0.871660702211329
751.3314089775085	54	-53.79738000955421	-0.9695965906307445	10.358923655883629	-37.09405794468954	-123.33590356157723	19.972916666666666	0.44872020947232677	252	554400	-55.576425192288646	-0.9066400516103883
