Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
28.7316498756	58	106.82516	12.223719	127.88176	78.22755	21.0	0.0	5.086912	5.086912	5.086912	5.086912	1008	59472
29.1797678471	59	103.07684	14.873608	137.84258	58.725086	21.0	0.0	4.908421	4.908421	4.908421	4.908421	1008	60480
29.6291749477	60	104.493416	16.615881	128.15015	38.680496	21.0	0.0	4.9758773	4.9758773	4.9758773	4.9758773	1008	61488
30.0721468925	61	105.98157	12.904571	128.24445	78.31138	21.0	0.0	5.046742	5.046742	5.046742	5.046742	1008	62496
30.5797579288	62	104.08627	15.871908	128.20248	58.741932	21.0	0.0	4.956489	4.956489	4.956489	4.956489	1008	63504
31.0466189384	63	105.75407	13.140687	127.97143	78.49687	21.0	0.0	5.035908	5.035908	5.035908	5.035908	1008	64512
31.4943339825	64	108.65211	12.784015	137.56651	78.30369	21.0	0.0	5.1739097	5.1739097	5.1739097	5.1739097	1008	65520
31.9348568916	65	105.75608	15.016756	137.64418	78.172485	21.0	0.0	5.036004	5.036004	5.036004	5.036004	1008	66528
32.3702440262	66	104.67112	18.466629	137.85553	48.417435	21.0	0.0	4.984339	4.984339	4.984339	4.984339	1008	67536
32.8120958805	67	106.76406	14.510476	137.79317	68.44667	21.0	0.0	5.084003	5.084003	5.084003	5.084003	1008	68544
33.2489309311	68	108.65139	15.711295	137.90222	68.2672	21.0	0.0	5.173876	5.173876	5.173876	5.173876	1008	69552
33.6910879612	69	106.5183	20.206543	147.24165	38.262985	21.0	0.0	5.0723004	5.0723004	5.0723004	5.0723004	1008	70560
34.1298010349	70	104.65725	13.934714	137.78165	68.05672	21.0	0.0	4.9836783	4.9836783	4.9836783	4.9836783	1008	71568
34.569051981	71	113.71157	16.510105	148.00603	48.582283	21.0	0.0	5.4148364	5.4148364	5.4148364	5.4148364	1008	72576
35.0044038296	72	108.55558	15.945027	137.31104	68.10779	21.0	0.0	5.1693134	5.1693134	5.1693134	5.1693134	1008	73584
35.4439320564	73	110.57969	12.673271	137.42075	78.56514	21.0	0.0	5.2656994	5.2656994	5.2656994	5.2656994	1008	74592
35.8984868526	74	111.198975	12.186214	137.64407	77.87424	21.0	0.0	5.29519	5.29519	5.29519	5.29519	1008	75600
36.339812994	75	111.20768	11.802891	127.96321	87.866135	21.0	0.0	5.2956038	5.2956038	5.2956038	5.2956038	1008	76608
36.7858040333	76	109.982506	15.104183	137.4814	68.23819	21.0	0.0	5.2372622	5.2372622	5.2372622	5.2372622	1008	77616
37.2212278843	77	109.14774	13.157827	137.46942	78.13551	21.0	0.0	5.1975117	5.1975117	5.1975117	5.1975117	1008	78624
37.6651799679	78	111.1944	15.002019	137.65997	68.34395	21.0	0.0	5.2949715	5.2949715	5.2949715	5.2949715	1008	79632
